"Modulo_Macula","Modulo_Periferia","Jaccard"
"turquoise","midnightblue",0.297730072144994
"lightgreen","green",0.297635288767622
"lightgreen","lightcyan",0.297381269418553
"green","sienna3",0.296201028888009
"pink","sienna3",0.296064400715564
"saddlebrown","magenta",0.295867768595041
"black","blue2",0.295726495726496
"lightgreen","yellow",0.295650203896692
"cyan","lightcyan",0.295623145400593
"saddlebrown","steelblue",0.29543666404406
"magenta","white",0.295014796266788
"lightgreen","sienna3",0.294940353763883
"lightgreen","black",0.294896485315359
"pink","lightcyan",0.294678131536138
"turquoise","darkred",0.29398351166462
"green","cyan",0.293367346938776
"cyan","sienna3",0.292767732962448
"red","thistle3",0.292603806228374
"lightgreen","paleturquoise",0.291161178509532
"saddlebrown","sienna3",0.290947368421053
"brown","sienna3",0.290053151100987
"pink","paleturquoise",0.289642529789184
"lightgreen","blue2",0.289313640312772
"black","thistle3",0.289188538405972
"black","ivory",0.289020187099951
"cyan","blue2",0.288888888888889
"saddlebrown","white",0.288627095604894
"saddlebrown","red",0.288046207935711
"magenta","paleturquoise",0.287956941018165
"turquoise","cyan",0.287443002455279
"lightgreen","cyan",0.286521388216303
"red","blue2",0.285559410234172
"orange","orange",0.285458879618594
"magenta","thistle3",0.285364768683274
"magenta","blue2",0.284977578475336
"blue","sienna3",0.284590900580416
"turquoise","sienna3",0.284256816182938
"saddlebrown","yellow",0.284054669703872
"greenyellow","orange",0.28309265944645
"orange","midnightblue",0.282535074987905
"cyan","darkorange",0.282348397064504
"lightgreen","brown",0.281899109792285
"lightgreen","darkturquoise",0.281589801274841
"red","paleturquoise",0.281492666091458
"red","white",0.280896431679722
"magenta","ivory",0.279032986895617
"black","orange",0.278969957081545
"greenyellow","darkorange",0.278937947494033
"saddlebrown","orangered4",0.278360819590205
"lightgreen","ivory",0.278341420379356
"magenta","thistle1",0.277853569804457
"saddlebrown","green",0.276378488767869
"lightgreen","blue",0.275786100540757
"red","ivory",0.275636838667538
"black","thistle1",0.275472624601031
"cyan","ivory",0.27546892239794
"saddlebrown","greenyellow",0.274953617810761
"saddlebrown","darkturquoise",0.274742071073749
"pink","ivory",0.274649505860722
"pink","thistle1",0.274305555555556
"lightgreen","orange",0.274170948155068
"saddlebrown","blue2",0.273609885260371
"pink","blue2",0.273469387755102
"brown","paleturquoise",0.273390970220941
"lightgreen","orangered4",0.272902603664417
"darkgreen","steelblue",0.272689425478768
"darkgreen","pink",0.272264631043257
"magenta","lightcyan",0.271182651464342
"cyan","thistle3",0.271180432470755
"pink","white",0.270861833105335
"red","thistle1",0.270028378083388
"green","blue2",0.269882399840542
"green","thistle3",0.269329642080285
"green","white",0.268845228548516
"red","lightcyan",0.26865028029323
"saddlebrown","black",0.267831498324557
"blue","thistle3",0.267709118311982
